epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,499.213,1.28369,2.69427,1.58966,0.23777,0.4442,0.23666,0.11197,1.74382,4.98584,2.46101,0.000475941,0.000475941,0.000475941
2,993.075,1.52202,2.44468,1.78165,0.52696,0.26711,0.21078,0.08806,1.87989,8.63281,2.50449,0.000889424,0.000889424,0.000889424
3,1486.66,1.57259,2.52933,1.81704,0.19556,0.48585,0.16598,0.07139,1.7906,6.19685,2.31453,0.00124003,0.00124003,0.00124003
4,1979.18,1.51677,2.34418,1.76947,0.23647,0.30598,0.21991,0.09442,1.83644,13.5373,2.46644,0.00114606,0.00114606,0.00114606
5,2467.45,1.3864,2.18992,1.66103,0.55994,0.36145,0.32394,0.16291,1.80241,4.49002,2.29824,0.00105174,0.00105174,0.00105174
6,2952.73,1.48875,1.96325,1.9525,0.26057,0.24866,0.23182,0.12848,1.87048,10.7694,2.41964,0.00095743,0.00095743,0.00095743
7,3441.72,1.36806,1.76226,1.81785,0.32676,0.29369,0.30498,0.17884,1.75709,9.7047,2.44488,0.000863116,0.000863116,0.000863116
8,3932.8,1.25506,1.63866,1.69822,0.3261,0.44896,0.33753,0.20208,1.73244,6.42995,2.37241,0.000768802,0.000768802,0.000768802
9,4420.03,1.14919,1.54457,1.60347,0.19976,0.4061,0.24865,0.13195,1.783,10.3293,2.46117,0.000674488,0.000674488,0.000674488
10,4916.08,1.04912,1.32737,1.49438,0.21553,0.45573,0.20115,0.13077,1.74842,16.7095,2.37374,0.000580174,0.000580174,0.000580174
11,5425.57,1.00278,1.22533,1.46337,0.42422,0.38443,0.39041,0.21878,1.60323,3.22092,2.1104,0.00048586,0.00048586,0.00048586
12,5929.43,0.95407,1.12821,1.41568,0.39457,0.39708,0.38821,0.22869,1.72569,6.20493,2.3474,0.000391546,0.000391546,0.000391546
13,6423.6,0.87223,1.03406,1.35196,0.48935,0.42984,0.41594,0.24991,1.51887,3.50289,1.99856,0.000297232,0.000297232,0.000297232
14,6919.24,0.8028,0.95901,1.29065,0.43527,0.42019,0.38932,0.22838,1.6348,4.57933,2.21126,0.000202918,0.000202918,0.000202918
15,7408.28,0.7655,0.88139,1.2452,0.41911,0.41355,0.40766,0.24186,1.56675,4.48376,2.0829,0.000108604,0.000108604,0.000108604
