epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,518.451,1.28369,2.69427,1.58966,0.23777,0.4442,0.23666,0.11197,1.74382,4.98584,2.46101,0.000475941,0.000475941,0.000475941
2,1017.56,1.49643,2.46589,1.76825,0.58601,0.32189,0.28058,0.11706,1.93134,5.7136,2.63808,0.000914565,0.000914565,0.000914565
3,1515.95,1.56606,2.54865,1.82848,0.61359,0.26257,0.24658,0.09125,2.07745,4.58799,2.49827,0.00131546,0.00131546,0.00131546
4,2018.17,1.52793,2.37397,1.80522,0.37753,0.30664,0.25934,0.14299,1.80177,6.23103,2.41668,0.00125923,0.00125923,0.00125923
5,2518.16,1.42942,2.31874,1.72644,0.35872,0.20974,0.22442,0.10188,2.06755,6.99715,2.58401,0.00120265,0.00120265,0.00120265
6,3011.61,1.41433,2.22773,1.70966,0.26588,0.27638,0.2196,0.10639,1.96864,8.23613,2.44616,0.00114606,0.00114606,0.00114606
7,3505.2,1.29198,2.0174,1.62406,0.23132,0.33396,0.24304,0.13898,1.62507,60.5964,2.09659,0.00108947,0.00108947,0.00108947
8,3999.91,1.21072,1.93046,1.55095,0.38719,0.42322,0.39533,0.24883,1.59595,2.80857,2.08609,0.00103288,0.00103288,0.00103288
9,4494.26,1.17677,1.83411,1.52621,0.45399,0.29591,0.35027,0.22069,1.51875,7.33972,1.99159,0.000976293,0.000976293,0.000976293
10,4988.18,1.15779,1.80929,1.50507,0.26723,0.35356,0.28076,0.14547,1.83733,7.01285,2.43432,0.000919704,0.000919704,0.000919704
11,5482.37,1.14149,1.68096,1.47817,0.31272,0.48168,0.31172,0.15311,1.69084,7.05805,2.19612,0.000863116,0.000863116,0.000863116
12,5975.76,1.1014,1.62839,1.45986,0.46767,0.35874,0.37686,0.23332,1.47214,3.14774,1.95067,0.000806528,0.000806528,0.000806528
13,6469.76,1.03434,1.56822,1.40371,0.47555,0.43017,0.4132,0.2629,1.44025,2.09856,1.82809,0.000749939,0.000749939,0.000749939
14,6963.11,0.97715,1.52191,1.37523,0.43285,0.47893,0.38473,0.21262,1.5336,6.71282,1.89954,0.000693351,0.000693351,0.000693351
15,7456.28,0.95516,1.4335,1.35072,0.38675,0.32862,0.27842,0.16794,1.6563,3.47534,2.05409,0.000636762,0.000636762,0.000636762
16,7945.54,0.98527,1.27086,1.48335,0.43281,0.52563,0.40408,0.27115,1.37007,5.10356,1.86177,0.000580174,0.000580174,0.000580174
17,8435.87,0.91524,1.11664,1.41173,0.40626,0.43556,0.30968,0.17705,1.62158,6.79659,2.10116,0.000523586,0.000523586,0.000523586
18,8926.52,0.87002,1.03559,1.3678,0.37456,0.40687,0.30196,0.19104,1.7054,5.98249,2.0631,0.000466997,0.000466997,0.000466997
19,9416.94,0.80233,0.94372,1.30282,0.65756,0.4612,0.47275,0.26658,1.52791,3.25495,1.9822,0.000410409,0.000410409,0.000410409
20,9907.43,0.78031,0.89386,1.27682,0.43049,0.45331,0.36971,0.26059,1.41737,7.06211,1.82621,0.00035382,0.00035382,0.00035382
21,10399.9,0.72852,0.84274,1.23915,0.41328,0.40566,0.29467,0.21018,1.60128,5.28432,2.05031,0.000297232,0.000297232,0.000297232
22,10889.8,0.69519,0.79618,1.2087,0.65993,0.31192,0.32998,0.21911,1.66309,3.04236,2.06637,0.000240644,0.000240644,0.000240644
23,11380,0.65681,0.74523,1.16694,0.52663,0.51516,0.40895,0.2648,1.49547,4.11794,1.89541,0.000184055,0.000184055,0.000184055
24,11874.7,0.63282,0.69354,1.15441,0.3816,0.46653,0.33265,0.19986,1.57896,3.69716,1.95733,0.000127467,0.000127467,0.000127467
25,12374.6,0.60391,0.66943,1.1305,0.51266,0.46263,0.35869,0.2512,1.46536,4.03104,1.86946,7.08784e-05,7.08784e-05,7.08784e-05
