epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,1726.89,0.79814,0.94195,1.10691,0.86601,0.70837,0.78809,0.61096,0.95934,0.9996,1.1317,0.00106118,0.00106118,0.00106118
15,1851.77,0.8085,0.92613,1.10326,0.841,0.75385,0.81114,0.64221,0.93146,0.8538,1.14015,0.00103288,0.00103288,0.00103288
16,1972.76,0.79825,0.89731,1.10282,0.91194,0.73187,0.8197,0.63721,1.13498,0.95803,1.2217,0.00100459,0.00100459,0.00100459
17,2095.62,0.7775,0.89705,1.08885,0.87351,0.72914,0.79571,0.64029,0.84699,0.85995,1.08853,0.000976293,0.000976293,0.000976293
18,2214.75,0.76258,0.86844,1.08949,0.908,0.71915,0.78136,0.64487,0.93148,0.91013,1.14093,0.000947999,0.000947999,0.000947999
19,2336.1,0.74868,0.82187,1.07875,0.8454,0.75324,0.79384,0.65732,0.8861,0.90117,1.10135,0.000919704,0.000919704,0.000919704
20,2469.74,0.72578,0.78881,1.06861,0.85041,0.74588,0.81995,0.66361,0.89146,0.84371,1.11127,0.00089141,0.00089141,0.00089141
21,2591.58,0.71458,0.77818,1.05374,0.88928,0.74906,0.81389,0.65617,0.90658,0.82611,1.10911,0.000863116,0.000863116,0.000863116
22,2706.48,0.70589,0.74966,1.05743,0.91203,0.75324,0.83012,0.66861,0.85689,0.79488,1.08763,0.000834822,0.000834822,0.000834822
23,2820.22,0.67509,0.7133,1.0357,0.81282,0.75623,0.80085,0.64355,0.91024,0.92779,1.08529,0.000806528,0.000806528,0.000806528
24,2936.07,0.70899,0.69047,1.04684,0.87787,0.77092,0.8273,0.6726,0.88697,0.84098,1.09337,0.000778233,0.000778233,0.000778233
25,3055.72,0.6906,0.73286,1.04718,0.94288,0.73963,0.83332,0.6821,0.86523,0.77372,1.07239,0.000749939,0.000749939,0.000749939
26,3174.9,0.67102,0.689,1.0312,0.91135,0.75795,0.82631,0.67284,0.86299,0.99632,1.14788,0.000721645,0.000721645,0.000721645
27,3292.76,0.65413,0.68723,1.02558,0.92667,0.73369,0.84224,0.69564,0.79804,0.72821,1.03898,0.000693351,0.000693351,0.000693351
28,3415.17,0.63566,0.64659,1.02009,0.92055,0.77148,0.84441,0.68762,0.85663,0.75154,1.05546,0.000665057,0.000665057,0.000665057
29,3533.7,0.64758,0.62838,1.0239,0.9163,0.78687,0.8527,0.70774,0.79447,0.72509,1.03839,0.000636762,0.000636762,0.000636762
30,3653.6,0.62668,0.62659,1.00829,0.86087,0.78676,0.84938,0.71301,0.76684,0.69302,1.01476,0.000608468,0.000608468,0.000608468
31,3780.53,0.61569,0.6053,1.01279,0.94442,0.74981,0.85132,0.70741,0.81643,0.74741,1.04687,0.000580174,0.000580174,0.000580174
32,3905.22,0.62031,0.59563,1.00447,0.88682,0.76857,0.84,0.71306,0.82166,0.73416,1.05507,0.00055188,0.00055188,0.00055188
33,4023.68,0.60681,0.5805,0.99737,0.94252,0.75585,0.82975,0.695,0.77297,0.78624,1.03874,0.000523586,0.000523586,0.000523586
34,4142.34,0.60379,0.58048,0.99508,0.94212,0.74613,0.84417,0.71718,0.78592,0.72388,1.01742,0.000495291,0.000495291,0.000495291
35,4272.95,0.59496,0.57723,0.99163,0.92464,0.75123,0.84785,0.72473,0.88756,0.73095,1.22148,0.000466997,0.000466997,0.000466997
36,4389.46,0.57589,0.54691,0.98901,0.86465,0.78038,0.82442,0.70025,0.81037,0.79497,1.05055,0.000438703,0.000438703,0.000438703
37,4503.05,0.58428,0.5532,0.983,0.86936,0.78311,0.83427,0.71455,0.94644,0.78176,1.22263,0.000410409,0.000410409,0.000410409
38,4639.98,0.5766,0.53304,0.99623,0.87105,0.75539,0.83964,0.71741,0.91678,0.77668,1.19422,0.000382115,0.000382115,0.000382115
39,4764.21,0.57118,0.52408,0.9865,0.85604,0.80546,0.85583,0.73632,0.91032,0.72845,1.24787,0.00035382,0.00035382,0.00035382
40,4893.48,0.56136,0.52821,0.9759,0.92478,0.78527,0.86594,0.74535,0.85781,0.71626,1.06237,0.000325526,0.000325526,0.000325526
41,5020.72,0.48593,0.44132,0.94522,0.89869,0.79485,0.85784,0.71842,0.92575,0.7598,1.2268,0.000297232,0.000297232,0.000297232
42,5131.15,0.46341,0.40101,0.92903,0.90778,0.78768,0.85019,0.73283,0.86655,0.88515,1.12926,0.000268938,0.000268938,0.000268938
43,5241.52,0.4602,0.3869,0.92386,0.94759,0.76302,0.85366,0.73955,0.72557,0.72645,1.00811,0.000240644,0.000240644,0.000240644
44,5352.29,0.45441,0.38464,0.9289,0.94365,0.78466,0.85354,0.75079,0.6882,0.70958,0.98955,0.000212349,0.000212349,0.000212349
45,5463.15,0.44536,0.36366,0.91873,0.89244,0.81094,0.86315,0.74294,0.70857,0.70347,0.99686,0.000184055,0.000184055,0.000184055
46,5573.82,0.41792,0.34663,0.9087,0.87345,0.81011,0.86674,0.75136,0.69807,0.68613,0.98778,0.000155761,0.000155761,0.000155761
47,5684.51,0.41845,0.3412,0.9057,0.93991,0.75532,0.85173,0.74914,0.70635,0.73233,1.00563,0.000127467,0.000127467,0.000127467
48,5795.83,0.41207,0.33287,0.90599,0.88499,0.79844,0.85391,0.74773,0.68409,0.71282,1.01187,9.91726e-05,9.91726e-05,9.91726e-05
49,5906.35,0.39851,0.31963,0.90207,0.95134,0.75357,0.85127,0.74682,0.69313,0.73853,1.00997,7.08784e-05,7.08784e-05,7.08784e-05
50,6015.8,0.391,0.30551,0.88934,0.93468,0.75779,0.85593,0.74733,0.69868,0.76004,1.01548,4.25842e-05,4.25842e-05,4.25842e-05
