epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.591,0.89569,1.74655,1.18783,0.61532,0.54877,0.59658,0.37858,1.30551,1.76817,1.44345,0.0004732,0.0004732,0.0004732
2,239.849,1.10866,1.57681,1.27699,0.46445,0.45829,0.45954,0.30818,1.42295,1.89686,1.47359,0.000930732,0.000930732,0.000930732
3,359.726,1.14576,1.6017,1.30219,0.30352,0.46705,0.32106,0.17381,1.60247,3.10008,1.74359,0.0013694,0.0013694,0.0013694
4,481.579,1.14256,1.53929,1.3112,0.68987,0.56546,0.62673,0.38768,1.43722,1.68735,1.60848,0.00134412,0.00134412,0.00134412
5,601.511,1.1056,1.46742,1.28407,0.77008,0.52461,0.62681,0.42175,1.32722,1.51029,1.54317,0.00131582,0.00131582,0.00131582
6,725.408,1.07429,1.45778,1.27621,0.7507,0.5518,0.63378,0.48205,1.35039,1.55384,1.41721,0.00128753,0.00128753,0.00128753
7,852.292,1.03416,1.31391,1.2459,0.75362,0.64436,0.70707,0.51629,1.17715,1.26532,1.31887,0.00125923,0.00125923,0.00125923
8,980.545,0.97515,1.26628,1.20176,0.75328,0.65245,0.70915,0.53299,1.15773,1.39251,1.34142,0.00123094,0.00123094,0.00123094
9,1107.68,0.94253,1.18392,1.17789,0.83639,0.63949,0.72927,0.54902,1.04945,1.12332,1.23479,0.00120265,0.00120265,0.00120265
10,1239.09,0.90775,1.08545,1.1618,0.85632,0.71806,0.76529,0.57675,1.06231,1.24737,1.24301,0.00117435,0.00117435,0.00117435
11,1360.5,0.90673,1.11586,1.17022,0.80776,0.69733,0.72622,0.56678,1.01229,1.43159,1.19853,0.00114606,0.00114606,0.00114606
12,1484.08,0.84407,1.00031,1.13792,0.80111,0.72337,0.7682,0.5964,1.11737,1.17401,1.28472,0.00111776,0.00111776,0.00111776
13,1603.87,0.83235,0.95527,1.11764,0.80093,0.72814,0.77844,0.59818,0.98625,0.96874,1.16011,0.00108947,0.00108947,0.00108947
