epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.28,1.1871,3.09186,1.51135,0.23176,0.40372,0.2579,0.15343,1.53669,5.48887,2.2092,0.000475941,0.000475941,0.000475941
2,630.961,1.30447,2.71283,1.58867,0.21071,0.38146,0.29627,0.15232,1.65273,7.61188,2.27243,0.000889424,0.000889424,0.000889424
3,941.383,1.36674,2.58486,1.66727,0.42226,0.30201,0.29717,0.12828,1.75374,4.30104,2.49239,0.00124003,0.00124003,0.00124003
4,1251.09,1.33832,2.3574,1.63569,0.26396,0.42287,0.17404,0.07969,1.74111,14.6514,2.4639,0.00114606,0.00114606,0.00114606
5,1561.47,1.23294,2.18696,1.55587,0.27045,0.45205,0.31135,0.14984,1.64054,3.60133,2.22586,0.00105174,0.00105174,0.00105174
6,1869.06,1.3549,2.03393,1.83482,0.3354,0.26291,0.20996,0.12031,2.00211,4.30485,2.5572,0.00095743,0.00095743,0.00095743
7,2176.13,1.21683,1.72171,1.67284,0.42785,0.34587,0.33209,0.18553,1.70307,4.65519,2.19249,0.000863116,0.000863116,0.000863116
8,2481.85,1.12595,1.57947,1.57037,0.18975,0.38873,0.14573,0.06203,2.01657,7.68275,2.49476,0.000768802,0.000768802,0.000768802
9,2787.52,1.07306,1.44533,1.52181,0.16653,0.33836,0.19384,0.10986,2.02399,7.64325,2.41636,0.000674488,0.000674488,0.000674488
10,3092.59,0.99319,1.32308,1.43621,0.3569,0.32541,0.26262,0.14941,1.83978,4.77107,2.4645,0.000580174,0.000580174,0.000580174
11,3398.06,0.94312,1.23115,1.40617,0.23518,0.40203,0.27097,0.16426,1.76149,5.23462,2.27568,0.00048586,0.00048586,0.00048586
12,3703.36,0.88571,1.12713,1.35011,0.25289,0.3537,0.24467,0.14072,1.81822,15.995,2.44382,0.000391546,0.000391546,0.000391546
13,4008.69,0.82549,1.05393,1.30765,0.34841,0.39867,0.32952,0.18283,1.65344,3.99787,2.19545,0.000297232,0.000297232,0.000297232
14,4313.97,0.77278,0.99035,1.26223,0.31787,0.36079,0.2834,0.18437,1.69936,6.61623,2.27164,0.000202918,0.000202918,0.000202918
15,4619.21,0.7407,0.91934,1.22015,0.30381,0.38522,0.29897,0.20447,1.59846,5.70262,2.18509,0.000108604,0.000108604,0.000108604
